customer_id,company_name,industry,employee_count,plan_tier,mrr_usd,signup_date,last_login_days_ago,features_used_30d,support_tickets_90d,csm_assigned
c_15694,Vertex Partners,freight logistics,3248,starter plan,237,2025-05-06,2,12,1,
c_89943,Cascade Ventures,tech / software,,professional,1215,2024-10-04,13,2,0,Kevin H.
c_42389,Helix LLC,health services,59,Starter,235,2024-08-25,7,2,1,
c_37248,Acme Group,logistics/transportation,21,enterprise,2435,2023-11-04,8,6,2,James T.
c_82278,Edge Advisors,manufacturing,7024,business,2266,2023-12-23,37,5,0,David C.
c_59262,Vertex Technologies,Technology,113,starter,213,2025-04-08,3,9,1,Anna P.
c_82723,Maple Labs,B2B Software,31,STARTER,195,2023-11-22,10,3,0,
c_32290,Ionic Advisors,media,133,professional,1172,2024-07-07,0,1,0,Priya M.
c_32349,Prime Services,HR tech,103,Business ,1600,2023-12-17,40,5,1,Rachel S.
c_98844,Iron Corp,consulting,503,STARTER,364,2025-03-20,19,3,0,Priya M.
c_30888,Stone Ventures,retail,44,professional,861,2025-01-23,31,7,0,David C.
c_88854,Cedar Ventures,SaaS,49,BUSINESS,2401,2025-01-17,7,10,4,Priya M.
c_39835,Cedar Co,HealthTech,68,business,1923,2025-01-10,47,5,0,Sophia B.
c_48005,Zenith Consulting,SaaS,761,pro,691,2024-05-09,48,5,1,Sarah K.
c_12842,Acme Systems,non-profit,33,starter plan,221,2024-07-07,9,4,0,
c_45477,Forge Group,retail & ecommerce,865,pro,1178,2023-11-08,14,11,1,Carlos R.
c_74814,Solid Services,Technology,397,Starter ,261,2024-10-05,51,4,1,
c_88284,Noble Systems,legal services,1428,Pro ,499,2025-01-06,7,1,0,Kevin H.
c_94415,Vertex LLC,FINANCE,283,starter plan,176,2024-01-05,51,0,1,Rachel S.
c_91040,Blue Services,retail,10,Pro ,499,2023-10-05,25,0,5,James T.
c_44099,Forge Ventures,logistics / 3pl,100,Pro ,500,2024-12-15,46,2,6,James T.
c_68354,Kinetic Consulting,online retail,29,STARTER,331,2024-09-27,39,3,0,
c_43768,Vertex Ventures,RETAIL,905,professional,1201,2024-04-06,10,13,2,Rachel S.
c_28298,Stratum Co,retail & ecommerce,28,BUSINESS,2358,2024-02-21,18,10,5,Sophia B.
c_72156,Vector Inc,software development,108,PRO,499,2023-08-20,8,6,0,Sophia B.
c_54528,Trek Dynamics,SaaS / Tech,66,starter,306,2024-09-18,19,2,0,
c_28567,Core Dynamics,enterprise software,281,PRO,525,2025-03-26,8,7,3,Carlos R.
c_79843,Prime Group,TECH,586,starter,215,2024-06-07,7,7,0,James T.
c_52079,Global Technologies,Software,151,Starter,297,2023-12-04,0,10,2,David C.
c_60190,Topo Labs,wealth management,,Starter,309,2024-03-16,6,7,0,Priya M.
c_12058,Ionic Co,Logistics,,STARTER,494,2024-04-27,5,7,1,
c_93699,Jade Labs,non-profit,230,starter,205,2024-05-29,56,0,0,Kevin H.
c_59848,Valor Technologies,SaaS,150,PRO,1043,2024-11-03,18,1,5,Sophia B.
c_51002,Acme Labs,freight logistics,11,Starter,291,2023-11-02,59,6,1,
c_45557,Apex Co,logistics / 3pl,6183,Starter,198,2023-11-07,24,6,0,
c_22666,Stratum Advisors,enterprise software,1372,Pro,906,2023-08-23,27,3,6,Kevin H.
c_55430,Solid Ventures,Retail,40,starter plan,250,2025-02-27,36,3,2,
c_52060,Slate Systems,Finance,104,starter,240,2024-07-30,7,12,1,James T.
c_17663,Verde Group,Software,2618,Business,2995,2025-01-28,37,3,5,David C.
c_28200,Ardent Services,Logistics & 3PL,665,enterprise,1952,2022-12-19,12,12,2,Sophia B.
c_66348,Forge Partners,logistics / 3pl,6,Pro ,1021,2024-01-17,37,6,5,Carlos R.
c_12378,Quorum LLC,Retail / Ecommerce,325,STARTER,218,2025-01-02,36,2,2,
c_64100,Nexus Corp,B2B Software,58,Pro ,499,2023-09-23,43,1,5,Carlos R.
c_50300,Forge Corp,3pl / warehousing,29,starter,330,2023-10-10,7,6,0,Mei L.
c_15938,Ridge Solutions,tech / software,60,Pro,926,2023-06-02,38,5,6,Kevin H.
c_14304,Terra Partners,fintech,,Pro,965,2023-10-12,54,6,1,Sophia B.
c_68186,Noble Technologies,Tech,15,Starter,50,2025-05-01,4,9,1,
c_40316,Quorum Solutions,Tech,1533,Business,1838,2024-07-31,4,12,0,David C.
c_66010,River Co,D2C ecommerce,,starter,287,2023-11-01,7,4,1,
c_45505,Vector Technologies,ecommerce,437,starter plan,309,2024-05-25,7,8,2,James T.
c_47111,Swift Advisors,software,,Pro,975,2024-03-10,12,12,4,Tom W.
c_11104,Mesa Consulting,health services,1391,Pro,1402,2025-02-10,43,5,8,Mei L.
c_60055,Valor Systems,FinTech,38,Pro,830,2024-05-28,43,9,1,Carlos R.
c_89298,Harbor Co,LOGISTICS,113,enterprise,2297,2023-09-09,10,6,2,David C.
c_46007,Prime Advisors,LOGISTICS,52,starter plan,397,2025-03-22,14,7,0,
c_27714,Bright Co,Software,468,starter plan,177,2025-04-26,4,11,0,Kevin H.
c_84048,Cedar Systems,SaaS / Tech,102,Pro ,852,2024-06-08,45,4,5,Tom W.
c_85179,Cedar Corp,tech / software,4035,starter,188,2024-07-19,37,0,0,
c_59936,Ionic Dynamics,wealth management,286,starter,196,2024-09-09,49,1,0,Tom W.
c_54635,Maple Systems,non-profit,820,Pro,804,2024-11-02,1,10,2,Sophia B.
c_68622,Core Ventures,Tech,152,starter plan,473,2024-01-25,49,10,0,
c_80398,Jade Inc,RETAIL,855,BUSINESS,2702,2023-10-28,13,11,1,Carlos R.
c_39990,Stone Dynamics,HEALTHCARE,974,STARTER,390,2024-11-13,3,6,0,
c_25898,Harbor Consulting,energy,3803,Starter,293,2024-06-20,43,4,0,Tom W.
c_37812,Valor Partners,B2B Software,98,Pro,867,2024-08-30,58,7,0,Kevin H.
c_92643,Ridge Works,tech / software,293,starter plan,265,2024-02-29,6,10,1,Mei L.
c_81294,Topo Systems,HR tech,1354,starter,189,2024-10-14,34,4,1,James T.
c_92630,Titan Dynamics,Software,7,Starter,371,2024-11-04,17,9,2,Kevin H.
c_44013,Titan LLC,education,363,BUSINESS,499,2022-12-03,2,7,5,Mei L.
c_83011,Keystone Advisors,SaaS,445,business,2388,2024-05-08,48,1,0,James T.
c_98439,Vault Group,Technology,135,PRO,1129,2024-07-07,27,4,2,Carlos R.
c_27305,Verde Works,3pl / warehousing,,PRO,1216,2024-06-12,29,0,2,Mei L.
c_38293,Vista Solutions,Technology,,business,2402,2023-10-30,5,0,3,James T.
c_41944,Nexus Works,real estate,322,enterprise,1754,2023-09-18,47,1,7,Priya M.
c_23299,Mesa LLC,wealth management,155,STARTER,308,2023-12-23,45,2,1,
c_36023,Terra Consulting,Logistics & 3PL,33,STARTER,167,2025-04-18,11,9,1,
c_88038,Mesa Partners,media,601,Pro ,1411,2024-02-07,46,2,1,Sophia B.
c_73378,Maple LLC,logistics / 3pl,36,PRO,669,2025-01-16,0,6,4,Sarah K.
c_69360,First Co,online retail,103,STARTER,280,2023-10-15,53,2,1,James T.
c_13235,Echo Ventures,retail,6277,Starter,336,2023-11-17,19,0,2,David C.
c_33976,Union Works,real estate,36,starter,265,2024-12-11,36,3,1,
c_43691,Peak LLC,D2C ecommerce,,Business,1918,2023-08-30,42,5,3,Tom W.
c_85393,Edge Works,SaaS / Tech,396,PRO,1021,2024-03-31,18,0,6,Sarah K.
c_34236,Core Corp,banking & finance,318,starter,174,2023-10-14,48,4,0,
c_44874,Core Labs,medical devices,329,PRO,920,2024-06-08,11,18,1,Anna P.
c_73598,Rally Inc,education,80,Business ,499,2022-12-12,51,3,5,Sophia B.
c_83110,Ultra Dynamics,supply chain logistics,403,professional,1144,2024-01-06,28,3,0,Priya M.
c_95927,Terra Dynamics,retail,298,starter plan,363,2024-12-05,32,2,1,Carlos R.
c_47434,First Advisors,logistics / 3pl,16,Starter,400,2023-12-19,27,7,0,
c_36093,Wave Partners,media,,STARTER,364,2024-10-01,11,9,2,Carlos R.
c_41789,Harbor Technologies,SaaS / Tech,35,starter plan,326,2024-08-22,7,7,0,Anna P.
c_28512,Verde Corp,medical devices,125,PRO,1010,2023-06-17,24,3,3,Priya M.
c_78359,Union Group,Retail,351,pro,898,2023-08-11,24,4,7,Rachel S.
c_21837,Prime Consulting,health services,30,pro,1243,2024-10-17,43,2,1,Sarah K.
c_73634,River Works,Retail / Ecommerce,140,Starter ,414,2023-11-04,3,3,0,Carlos R.
c_62141,Apex Labs,Tech,220,Pro ,1061,2024-04-21,51,6,0,Tom W.
c_27693,Blue Consulting,TECH,371,PRO,1098,2025-01-31,44,1,0,Sophia B.
c_90933,Terra Ventures,Finance,835,business,2404,2024-03-22,5,7,2,James T.
c_81219,Union Inc,food & beverage,442,starter plan,250,2025-01-01,45,1,0,Sophia B.
c_69542,Rally Works,supply chain logistics,98,Starter,450,2024-05-26,54,1,2,Sarah K.
c_69353,Solid Inc,legal services,22,starter plan,308,2024-02-15,15,2,1,Mei L.
c_96773,Slate Co,Technology,784,Pro ,1136,2025-04-03,0,1,0,Kevin H.
c_60952,Titan Solutions,B2B Software,100,BUSINESS,499,2023-04-06,8,0,5,Kevin H.
c_80697,Ultra LLC,Software,,Business ,2048,2023-12-19,17,5,4,Priya M.
c_21526,Jade Services,manufacturing,226,starter plan,233,2025-04-30,5,4,0,
c_17970,Jade Advisors,tech / software,145,Pro,1189,2024-10-14,56,2,3,Rachel S.
c_65085,Ionic Technologies,education,8,pro,941,2023-08-08,24,6,6,Mei L.
c_44128,Global Services,logistics / 3pl,10,Starter ,241,2025-04-24,5,10,1,
c_87865,Rally Systems,3pl / warehousing,311,business,2809,2023-09-03,35,5,5,Carlos R.
c_38913,Iron Ventures,SaaS,1153,professional,500,2023-01-09,10,10,1,Sarah K.
c_82187,Zeal Services,LOGISTICS,269,starter plan,211,2025-04-24,20,12,1,Anna P.
c_39474,Harbor Services,freight logistics,75,Pro,790,2024-03-01,10,1,5,Rachel S.
c_66124,Kinetic Services,enterprise software,443,Starter,301,2023-12-15,2,1,0,Mei L.
c_11392,Ultra Ventures,TECH,179,STARTER,222,2024-02-19,17,6,0,Kevin H.
c_93441,Lumen Advisors,3pl / warehousing,90,Pro ,1026,2023-06-21,30,5,4,Anna P.
c_20789,Peak Corp,B2B Software,4551,Pro,1179,2024-05-09,18,6,1,Sophia B.
c_53210,Stone Labs,e-commerce,3663,Starter,189,2025-02-20,6,11,2,Kevin H.
c_53063,Vault Dynamics,energy,49,enterprise,1744,2024-12-19,23,6,6,Carlos R.
c_87574,Union Services,education,76,Pro,994,2023-12-17,19,9,2,Carlos R.
c_43040,First Works,financial services,65,enterprise,2543,2023-05-15,16,1,5,Sophia B.
c_65374,Peak Ventures,legal services,102,Pro ,839,2024-01-24,31,9,0,Carlos R.
c_72672,Iron Advisors,enterprise software,126,Starter ,276,2024-05-01,41,12,1,
c_85937,Valor Ventures,retail,,pro,1453,2023-12-14,26,4,1,Sophia B.
c_81453,Prime Corp,Healthcare,982,Pro ,1154,2024-04-18,10,13,2,Mei L.
c_85006,Blue Works,health services,6,PRO,950,2024-03-31,20,3,2,Sarah K.
c_79661,Blue Partners,energy,445,starter,292,2023-11-14,6,7,0,Tom W.
c_34548,Core Services,e-commerce,1794,STARTER,226,2024-05-29,47,3,1,Carlos R.
c_14075,Global LLC,health tech,,business,2754,2023-04-05,36,1,6,Sarah K.
c_60518,Summit Co,Retail,4104,starter plan,168,2023-10-09,24,7,1,
c_41343,Blue Systems,SaaS,40,Starter,387,2024-10-27,5,12,1,
c_59737,Noble Works,Software,67,STARTER,205,2024-05-01,6,10,2,
c_51489,Maple Consulting,non-profit,145,pro,1446,2024-09-04,70,1,7,Rachel S.
c_35104,First Inc,Retail,74,Business ,2733,2024-12-22,5,8,5,Mei L.
c_61688,Cedar Group,enterprise software,88,Starter,283,2024-03-20,58,9,2,
c_62351,Orbit Consulting,HR tech,,starter,383,2024-04-26,6,12,0,
c_95070,Topo Solutions,media,,Business,3178,2025-01-06,46,4,1,Tom W.
c_92988,Cascade Consulting,software development,117,Starter,327,2025-02-11,50,8,0,
c_36384,Slate Inc,logistics/transportation,64,Starter ,311,2023-09-29,33,2,0,
c_81425,Wave Corp,freight logistics,1572,pro,1226,2024-02-24,6,14,2,Kevin H.
c_92454,Forge Solutions,Tech,380,Starter ,400,2024-08-12,44,2,1,
c_94313,Terra Group,D2C ecommerce,1105,Business,2687,2023-06-15,12,11,1,Mei L.
c_79490,Orbit Labs,Software,,BUSINESS,2959,2023-03-30,44,6,5,Mei L.
c_72298,Stratum Labs,healthcare,,Starter ,251,2023-10-29,6,4,1,Mei L.
c_67022,Spark Dynamics,Retail / Ecommerce,1488,BUSINESS,2364,2023-12-23,4,14,2,Mei L.
c_85171,Slate Group,financial tech,427,starter,454,2025-03-09,29,2,0,Anna P.
c_16445,Swift Corp,HEALTHCARE,,pro,499,2023-11-14,27,2,5,James T.
c_70017,Core Co,Logistics,80,Starter,280,2024-08-21,4,7,2,Carlos R.
c_95558,Rally Technologies,food & beverage,16,professional,883,2023-09-05,56,1,6,Sarah K.
c_83791,Quorum Group,HEALTHCARE,360,Pro ,1097,2023-11-18,3,5,4,David C.
c_10190,Stone Services,ecommerce,401,Pro ,1439,2024-11-02,3,3,4,Kevin H.
c_16093,Maple Partners,e-commerce,58,Pro ,1185,2024-04-14,4,6,4,Carlos R.
c_36887,Slate Labs,fintech,254,starter,277,2025-04-25,41,3,2,
c_84535,Noble LLC,freight logistics,456,PRO,699,2024-09-12,40,5,6,Anna P.
c_62869,Maple Inc,media,,PRO,1288,2023-09-22,15,1,3,Mei L.
c_88732,Zenith LLC,software,,Starter,282,2025-04-21,52,11,0,
c_69836,Harbor LLC,health tech,7321,Pro,764,2024-02-02,44,5,6,Carlos R.
c_91196,First Labs,real estate,39,PRO,499,2024-07-09,18,2,3,Sophia B.
c_66764,Trek Services,SaaS,411,starter plan,290,2023-11-28,28,0,0,
c_77104,Stratum Services,Technology,1191,BUSINESS,3853,2023-01-18,3,10,1,Carlos R.
c_35250,Acme Services,freight logistics,112,Pro,822,2023-07-24,8,6,6,Carlos R.
c_20811,Vault Technologies,Software,,business,2181,2024-12-15,15,4,0,Sophia B.
c_58851,Zenith Dynamics,logistics / 3pl,391,STARTER,347,2024-04-07,51,9,1,Mei L.
c_73969,Vault Services,tech / software,652,enterprise,1520,2023-02-07,9,10,1,David C.
c_38250,Valor Co,freight logistics,113,Starter ,336,2025-02-19,2,5,2,
c_55139,Pulse Corp,HR tech,79,professional,631,2024-08-04,18,3,3,Kevin H.
c_57955,Blue Solutions,manufacturing,220,Pro ,796,2024-08-15,5,6,4,Tom W.
c_90882,Trek Advisors,freight logistics,348,business,3350,2024-11-28,2,0,4,Kevin H.
c_94625,Apex Group,education,64,Pro,1012,2023-09-24,41,12,0,Priya M.
c_69018,Core Works,food & beverage,475,starter plan,319,2024-08-06,58,10,2,
c_68399,Titan Labs,food & beverage,180,pro,1122,2024-08-10,10,6,0,Tom W.
c_46035,Verde Systems,enterprise software,46,enterprise,2187,2024-07-22,37,7,2,James T.
c_40708,Quorum Services,FINANCE,108,professional,1354,2023-08-21,2,4,4,Carlos R.
c_20031,Stone Partners,food & beverage,135,Pro,1006,2024-11-12,51,6,2,Mei L.
c_26074,River Solutions,energy,46,professional,499,2023-06-28,18,0,0,James T.
c_93789,Jade Technologies,Retail / Ecommerce,177,PRO,1043,2024-11-04,11,9,2,Sarah K.
c_54874,Vibe Works,Logistics,974,pro,1070,2024-08-20,73,6,4,Tom W.
c_76898,Echo Systems,Finance,88,starter plan,409,2024-03-29,1,5,1,
c_60608,Acme LLC,retail & ecommerce,28,BUSINESS,2221,2023-09-29,47,1,3,Rachel S.
c_56219,Stratum Systems,software,607,Pro,587,2023-09-24,10,10,2,Sophia B.
c_21383,Iron Partners,energy,465,Starter ,317,2025-04-27,39,6,2,
c_84644,Maple Technologies,non-profit,233,Starter,187,2025-02-27,30,1,1,
c_85576,Ultra Corp,legal services,189,Pro ,1345,2024-11-14,16,1,1,Anna P.
c_35411,Swift Services,TECH,183,Pro,1177,2023-10-03,13,1,6,Mei L.
c_80143,Pivot Inc,Tech,,Pro,775,2023-11-06,69,6,6,David C.
c_36817,Echo Services,3pl / warehousing,138,STARTER,263,2024-12-03,3,0,2,
c_63483,Rally Dynamics,Technology,182,starter,324,2024-10-06,7,5,1,Rachel S.
c_61344,Zeal Co,software,1574,enterprise,1780,2024-01-18,11,9,0,Sophia B.
c_94424,Nexus LLC,software,61,BUSINESS,2759,2023-10-16,59,6,6,Mei L.
c_24417,Ultra Technologies,Tech,430,professional,499,2023-07-02,36,2,3,Priya M.
c_86884,Kinetic Advisors,LOGISTICS,28,business,2013,2023-01-01,48,4,4,Anna P.
c_58686,Cascade Systems,tech / software,3539,business,2173,2023-03-19,17,6,5,David C.
c_95918,Zeal Group,SaaS / Tech,2243,professional,883,2024-09-07,1,4,0,James T.
c_86878,Cedar Services,financial services,195,enterprise,3699,2023-08-26,10,7,0,David C.
c_21907,Valor Inc,retail & ecommerce,199,professional,702,2025-04-12,53,4,1,Carlos R.
c_90848,Zenith Inc,3PL,152,starter plan,181,2024-08-19,24,0,0,
c_38402,Vibe Labs,education,490,STARTER,256,2025-02-17,1,12,1,
c_19698,Pivot LLC,Logistics & 3PL,59,Starter,126,2025-02-03,10,8,0,Sarah K.
c_87125,Delta Services,ecommerce,26,pro,499,2024-11-10,31,5,2,Anna P.
c_68214,Zenith Group,3pl / warehousing,501,professional,1071,2025-04-18,6,7,1,Rachel S.
c_45377,Mesa Ventures,banking & finance,37,pro,842,2025-03-22,28,8,2,Mei L.
c_63009,Vertex Consulting,food & beverage,,business,2259,2023-02-06,51,1,0,Carlos R.
c_51235,Atlas Co,banking & finance,419,Pro,499,2024-08-24,24,2,6,David C.
c_67280,Vista Corp,SaaS / Tech,142,PRO,499,2024-10-24,58,6,3,Kevin H.
c_24560,Pivot Labs,supply chain logistics,141,STARTER,248,2023-10-26,30,12,0,
c_19464,Bright Inc,retail & ecommerce,187,PRO,1134,2024-01-13,5,2,2,Sarah K.
c_69807,Verde Labs,health tech,,STARTER,136,2024-08-17,18,9,0,
c_36560,Ridge Dynamics,Finance,87,Pro,499,2024-09-10,41,9,3,David C.
c_38282,Delta Works,e-commerce,100,Starter ,296,2024-10-03,51,10,0,Kevin H.
c_35063,Harbor Dynamics,legal services,363,Starter,336,2024-04-14,43,9,1,
c_87000,Ultra Solutions,Retail,,PRO,1195,2024-10-29,68,1,6,Rachel S.
c_60113,Pulse Ventures,logistics/transportation,1932,BUSINESS,2559,2024-03-29,21,1,8,Mei L.
c_49843,Delta Partners,medical devices,8,pro,1283,2023-08-18,49,1,1,Mei L.
c_47628,Stratum Consulting,banking & finance,253,starter,233,2024-01-12,27,5,1,Priya M.
c_88721,Slate Corp,education,472,professional,883,2024-02-11,57,1,3,Sarah K.
c_31780,Harbor Corp,supply chain logistics,421,business,2224,2023-03-07,2,0,4,Sophia B.
c_57573,Prime Labs,Logistics & 3PL,3899,Business,499,2024-03-23,60,1,3,David C.
c_84089,Zeal Works,enterprise software,387,Starter ,362,2024-08-24,54,9,2,Anna P.
c_70381,Acme Inc,3pl / warehousing,1257,Starter,218,2024-11-17,13,1,0,
c_78426,Lumen Labs,real estate,380,PRO,1217,2024-10-08,6,11,0,Mei L.
c_94534,Global Works,energy,793,Pro ,1099,2024-01-26,55,3,8,Anna P.
c_87862,Vault Ventures,online retail,178,BUSINESS,1943,2023-06-16,17,7,2,Mei L.
c_24981,Stratum Technologies,consulting,,Pro ,1001,2023-09-10,1,0,0,Sophia B.
c_63565,First Solutions,Software,96,Pro ,916,2024-01-12,12,3,1,James T.
c_39078,Maple Corp,SaaS / Tech,5,professional,734,2023-10-02,6,0,5,Carlos R.
c_19907,Summit Group,enterprise software,1729,pro,1216,2024-10-06,3,18,2,Kevin H.
c_59195,River Group,freight logistics,1347,business,499,2024-03-07,5,4,3,Anna P.
c_23194,Stone Consulting,energy,1485,starter,361,2024-07-10,46,2,2,Mei L.
c_34753,Vista Technologies,ecommerce,292,Pro,830,2024-05-28,57,5,6,David C.
c_76243,Blue Dynamics,LOGISTICS,52,PRO,631,2024-02-25,3,5,0,David C.
c_36315,Core Group,enterprise software,125,Business,3121,2024-05-31,2,3,4,Tom W.
c_33672,Ionic Works,Logistics & 3PL,460,Business ,499,2023-01-14,12,5,0,James T.
c_33435,Vector Advisors,FinTech,6,PRO,953,2024-10-27,20,8,2,Priya M.
c_88897,Swift Systems,health tech,486,Pro ,1371,2024-01-25,54,3,5,Anna P.
c_88209,Lumen Inc,FinTech,251,starter plan,340,2024-02-01,18,1,0,
c_99487,Terra Advisors,real estate,3866,Starter ,277,2023-10-24,34,0,0,Tom W.
c_26527,Solid Advisors,real estate,73,business,1934,2023-02-22,50,0,1,Tom W.
c_76852,Mesa Solutions,media,376,PRO,1029,2023-10-12,41,5,1,David C.
c_68470,Quorum Inc,banking & finance,488,professional,973,2025-03-09,3,7,0,Rachel S.
c_48313,Lumen Dynamics,financial tech,7204,STARTER,326,2024-09-20,9,0,0,
c_21660,Keystone Technologies,B2B Software,711,enterprise,2334,2024-05-04,3,13,0,James T.
c_31904,Peak Works,TECH,,BUSINESS,3102,2023-03-02,40,5,1,James T.
c_12781,Orbit Co,3pl / warehousing,,starter,309,2025-02-18,23,2,2,
c_47771,Verde Consulting,supply chain logistics,657,professional,1187,2023-12-12,8,4,0,Kevin H.
c_53144,Cascade Co,software,81,PRO,716,2023-12-07,23,2,2,Sophia B.
c_92135,Keystone Systems,software development,149,starter plan,216,2024-09-08,56,3,1,Sophia B.
c_84419,Vault Partners,energy,112,BUSINESS,2889,2023-12-12,42,1,7,James T.
c_66346,Stratum Dynamics,banking & finance,337,Pro ,1033,2025-04-05,31,5,3,James T.
c_83621,Atlas Consulting,Software,1358,Starter,422,2024-04-26,60,10,0,Sophia B.
c_94009,Delta Labs,e-commerce,99,pro,1574,2025-01-17,42,2,8,Priya M.
c_27555,Vibe Inc,wealth management,330,business,2441,2023-07-01,36,6,5,Sophia B.
c_90745,Zenith Systems,TECH,157,Starter,281,2024-02-10,3,9,2,
c_58758,Nexus Services,3PL,33,Pro ,1203,2024-05-04,35,6,8,Rachel S.
c_27495,Apex Consulting,software,1979,professional,816,2025-03-19,14,0,3,Rachel S.
c_32406,Stone Systems,Tech,27,PRO,449,2024-02-09,52,0,5,Tom W.
c_97219,Bright LLC,financial services,,business,377,2023-05-14,22,0,5,Anna P.
c_63928,Vibe Advisors,supply chain logistics,1480,Business,1436,2024-01-18,2,11,2,Kevin H.
c_32211,Forge Advisors,media,1714,business,2741,2023-12-17,6,12,1,Sarah K.
c_36120,Ultra Partners,energy,207,Business,1821,2023-02-26,41,1,6,Priya M.
c_44842,Slate Partners,e-commerce,152,PRO,921,2024-01-23,5,10,0,Priya M.
c_86353,Summit Advisors,supply chain logistics,,PRO,790,2024-06-14,27,5,1,James T.
c_44696,Cedar Inc,TECH,308,PRO,661,2023-11-04,14,12,1,David C.
c_23167,Prime Partners,media,327,Starter,313,2023-12-01,1,8,0,
c_76837,Nexus Technologies,manufacturing,178,BUSINESS,499,2023-03-27,58,1,2,James T.
c_19849,Vista Works,FINANCE,303,Business ,2547,2023-04-07,70,1,6,Anna P.
